province	cityid
31	52
31	51
31	50
31	49
31	48
31	47
31	46
31	45
31	44
31	43
31	42
30	41
29	40
29	39
26	38
25	37
25	36
25	35
25	34
24	33
23	32
23	31
23	30
22	28
21	27
19	26
19	25
18	24
17	23
16	22
16	21
16	20
16	19
16	18
16	17
15	16
15	15
15	14
15	13
15	12
13	11
12	10
10	7
7	6
5	5
4	4
3	3
2	2
1	1
31	55
31	54
31	53
23	7606
8	7605
11	7604
22	7600
22	7599
23	7598
12	7596
19	7595
25	7594
10	7593
18	7592
16	7590
27	7589
15	7588
14	7587
16	7586
27	7582
7	7579
15	7578
17	7577
28	7576
22	7575
28	7573
6	7572
16	7571
53	7570
7	7569
28	2712
25	2711
25	2710
25	2709
9	2708
25	2707
0	2706
26	2705
5	2704
26	2703
26	2702
26	2701
26	2700
26	2699
26	2698
6	2697
6	2696
6	2695
26	2694
26	2693
6	2692
6	2691
6	2690
6	2689
28	2688
28	2687
26	2686
28	2685
28	2684
5	2683
29	2682
28	2681
28	2680
26	2677
5	2676
26	2675
26	2674
5	2673
26	2672
5	2671
28	2670
28	2669
28	2668
5	2667
28	2666
28	2665
28	2664
28	2663
28	2662
5	2787
9	2786
5	2785
5	2784
5	2783
5	2782
5	2781
5	2780
5	2779
5	2778
5	2777
5	2776
5	2775
5	2774
5	2773
5	2772
5	2771
5	2770
5	2769
5	2768
5	2767
5	2765
5	2764
5	2763
5	2762
5	2761
5	2760
5	2759
28	2889
28	2888
11	2887
11	2886
11	2885
11	2884
11	2883
11	2882
6	2881
6	2880
6	2879
6	2878
6	2877
6	2876
6	2875
6	2874
6	2873
11	2872
6	2870
11	2869
6	2868
14	2867
6	2866
6	2865
6	2864
6	2863
6	2862
6	2860
6	2859
6	2858
6	2857
6	2856
6	2855
6	2854
6	2853
6	2852
6	2851
21	2850
6	2849
7	2848
7	2847
7	2846
7	2845
7	2844
7	2843
7	2842
7	2841
7	2840
7	2839
6	2994
6	2993
6	2992
6	2991
6	2990
6	2989
6	2988
6	2987
6	2986
6	2985
6	2984
28	2983
28	2982
28	2981
28	2980
28	2979
5	2978
5	2977
5	2976
5	2975
